Date,Time,RA,DEC,T-mag,N-mag,delta,deldot,S-O-T,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,Sky_SNR
2024-Sep-25,00:00,07 26 30.84,+09 38 28.7,36.221,24.805,14.9206053658544,-16.5884006,70.7138,3.7110,0.0614949,125.30268,-56.23375,n.a.,n.a.
2024-Sep-25,04:00,07 26 31.65,+09 38 20.2,36.221,24.805,14.9190073085072,-16.6163781,70.8694,3.7140,0.0611280,125.51726,-56.43932,n.a.,n.a.
2024-Sep-25,08:00,07 26 32.46,+09 38 11.8,36.221,24.805,14.9174065679783,-16.6441522,71.0252,3.7171,0.0607612,125.73451,-56.64477,n.a.,n.a.
2024-Sep-25,12:00,07 26 33.26,+09 38 03.3,36.222,24.805,14.9158031639091,-16.6717216,71.1809,3.7202,0.0603945,125.95449,-56.85009,n.a.,n.a.
2024-Sep-25,16:00,07 26 34.05,+09 37 54.8,36.222,24.805,14.9141971160378,-16.6990855,71.3367,3.7232,0.0600280,126.17725,-57.05526,n.a.,n.a.
2024-Sep-25,20:00,07 26 34.83,+09 37 46.3,36.222,24.805,14.9125884441978,-16.7262428,71.4926,3.7262,0.0596617,126.40283,-57.26028,n.a.,n.a.
2024-Sep-26,00:00,07 26 35.61,+09 37 37.8,36.223,24.805,14.9109771683162,-16.7531927,71.6485,3.7291,0.0592956,126.63129,-57.46514,n.a.,n.a.
2024-Sep-26,04:00,07 26 36.38,+09 37 29.4,36.223,24.805,14.9093633084118,-16.7799341,71.8045,3.7321,0.0589298,126.86267,-57.66981,n.a.,n.a.
2024-Sep-26,08:00,07 26 37.14,+09 37 20.9,36.223,24.805,14.9077468845940,-16.8064661,71.9605,3.7350,0.0585642,127.09704,-57.87429,n.a.,n.a.
2024-Sep-26,12:00,07 26 37.90,+09 37 12.5,36.224,24.805,14.9061279170613,-16.8327878,72.1166,3.7379,0.0581989,127.33444,-58.07858,n.a.,n.a.
2024-Sep-26,16:00,07 26 38.65,+09 37 04.0,36.224,24.805,14.9045064260993,-16.8588983,72.2727,3.7407,0.0578339,127.57494,-58.28264,n.a.,n.a.
2024-Sep-26,20:00,07 26 39.39,+09 36 55.6,36.224,24.805,14.9028824320797,-16.8847967,72.4288,3.7435,0.0574692,127.81858,-58.48648,n.a.,n.a.
2024-Sep-27,00:00,07 26 40.12,+09 36 47.2,36.225,24.805,14.9012559554588,-16.9104822,72.5851,3.7463,0.0571049,128.06542,-58.69008,n.a.,n.a.
2024-Sep-27,04:00,07 26 40.85,+09 36 38.7,36.225,24.805,14.8996270167758,-16.9359538,72.7413,3.7491,0.0567409,128.31553,-58.89343,n.a.,n.a.
2024-Sep-27,08:00,07 26 41.57,+09 36 30.3,36.225,24.805,14.8979956366515,-16.9612108,72.8977,3.7518,0.0563773,128.56896,-59.09651,n.a.,n.a.
2024-Sep-27,12:00,07 26 42.28,+09 36 21.9,36.226,24.805,14.8963618357872,-16.9862523,73.0540,3.7546,0.0560141,128.82577,-59.29930,n.a.,n.a.
2024-Sep-27,16:00,07 26 42.99,+09 36 13.5,36.226,24.805,14.8947256349630,-17.0110776,73.2104,3.7572,0.0556514,129.08603,-59.50180,n.a.,n.a.
2024-Sep-27,20:00,07 26 43.69,+09 36 05.1,36.226,24.805,14.8930870550369,-17.0356857,73.3669,3.7599,0.0552892,129.34980,-59.70399,n.a.,n.a.
2024-Sep-28,00:00,07 26 44.38,+09 35 56.7,36.227,24.805,14.8914461169430,-17.0600760,73.5234,3.7625,0.0549275,129.61714,-59.90585,n.a.,n.a.
2024-Sep-28,04:00,07 26 45.06,+09 35 48.4,36.227,24.805,14.8898028416908,-17.0842476,73.6800,3.7651,0.0545662,129.88813,-60.10737,n.a.,n.a.
2024-Sep-28,08:00,07 26 45.74,+09 35 40.0,36.227,24.805,14.8881572503634,-17.1081997,73.8366,3.7677,0.0542056,130.16282,-60.30854,n.a.,n.a.
2024-Sep-28,12:00,07 26 46.41,+09 35 31.6,36.228,24.805,14.8865093641168,-17.1319318,73.9933,3.7702,0.0538455,130.44129,-60.50933,n.a.,n.a.
2024-Sep-28,16:00,07 26 47.07,+09 35 23.3,36.228,24.805,14.8848592041785,-17.1554429,74.1500,3.7728,0.0534861,130.72361,-60.70973,n.a.,n.a.
2024-Sep-28,20:00,07 26 47.73,+09 35 14.9,36.228,24.805,14.8832067918463,-17.1787324,74.3068,3.7753,0.0531273,131.00984,-60.90973,n.a.,n.a.
2024-Sep-29,00:00,07 26 48.38,+09 35 06.6,36.229,24.805,14.8815521484871,-17.2017995,74.4636,3.7777,0.0527692,131.30006,-61.10930,n.a.,n.a.
2024-Sep-29,04:00,07 26 49.02,+09 34 58.2,36.229,24.805,14.8798952955360,-17.2246436,74.6205,3.7802,0.0524117,131.59435,-61.30844,n.a.,n.a.
2024-Sep-29,08:00,07 26 49.65,+09 34 49.9,36.229,24.805,14.8782362544949,-17.2472640,74.7774,3.7826,0.0520551,131.89279,-61.50711,n.a.,n.a.
2024-Sep-29,12:00,07 26 50.28,+09 34 41.6,36.230,24.805,14.8765750469313,-17.2696600,74.9344,3.7849,0.0516992,132.19543,-61.70531,n.a.,n.a.
2024-Sep-29,16:00,07 26 50.90,+09 34 33.3,36.230,24.805,14.8749116944778,-17.2918309,75.0914,3.7873,0.0513441,132.50238,-61.90302,n.a.,n.a.
2024-Sep-29,20:00,07 26 51.51,+09 34 25.0,36.230,24.805,14.8732462188302,-17.3137760,75.2485,3.7896,0.0509899,132.81370,-62.10021,n.a.,n.a.
